"",playlist.id,playlist.name,followers.total
345,37i9dQZEVXbNxXF4SkHj9F,Top 50 - South Korea,65188
346,37i9dQZEVXbNFJfN1Vw8d9,Top 50 - Spain,1508025
347,6zFJ2HTXC3d38AgpfcPGph,Top 50 - Suriname,102
348,37i9dQZEVXbLoATJ81JYXz,Top 50 - Sweden,601551
349,37i9dQZEVXbJiyhoAPEfMK,Top 50 - Switzerland,119990
350,37i9dQZEVXbMnZEatlMSiu,Top 50 - Taiwan,197516
351,37i9dQZEVXbMnz8KIWsvf9,Top 50 - Thailand,132496
352,37i9dQZEVXbIVYVBNw9D5K,Top 50 - Turkey,777372
353,37i9dQZEVXbM4UZuIrvHvA,Top 50 - UAE,2851
354,37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,3414159
355,37i9dQZEVXbKkidEfWYRuD,Top 50 - Ukraine,20194
356,37i9dQZEVXbLnolsZ8PSNw,Top 50 - United Kingdom,2180227
357,37i9dQZEVXbLdGSmz6xilI,Top 50 - Vietnam,75383
358,3seAKhZ9QXirBjL9lazOi4,Top 50 - Zimbabwe,65
359,5atgcoJ9pDa39CzCYdXkRi,Top 50 - Polska,756
360,37i9dQZEVXbMMy2roB9myp,Top 50 - Argentina,1265532
361,37i9dQZEVXbJPcfkRz0wJ0,Top 50 - Australia,807902
362,37i9dQZEVXbKNHh6NIXu36,Top 50 - Austria,117969
363,37i9dQZEVXbJNSeeHswcKB,Top 50 - Belgium,267700
364,37i9dQZEVXbJqfMFK4d691,Top 50 - Bolivia,91434
365,37i9dQZEVXbMXbN3EUUhlg,Top 50 - Brazil,3201747
366,37i9dQZEVXbKj23U1GF4IR,Top 50 - Canada,332480
